[2021-04-23 21:01:06] main.CRITICAL: Unable to send mail: mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() {"exception":"[object] (Magento\\Framework\\Exception\\MailException(code: 0): Unable to send mail: mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() at C:\\xampp\\htdocs\\magento\\app\\code\\Magento\\Email\\Model\\Transport.php:103, Laminas\\Mail\\Transport\\Exception\\RuntimeException(code: 0): Unable to send mail: mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() at C:\\xampp\\htdocs\\magento\\vendor\\laminas\\laminas-mail\\src\\Transport\\Sendmail.php:306)"} []
[2021-04-24 10:26:26] main.CRITICAL: Link URL's domain is not in list of downloadable_domains in env.php. {"exception":"[object] (Magento\\Framework\\Exception\\InputException(code: 0): Link URL's domain is not in list of downloadable_domains in env.php. at C:\\xampp\\htdocs\\magento\\app\\code\\Magento\\Downloadable\\Model\\Link\\ContentValidator.php:108)"} []
[2021-04-24 10:32:33] main.CRITICAL: Unable to send mail: mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() {"exception":"[object] (Magento\\Framework\\Exception\\MailException(code: 0): Unable to send mail: mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() at C:\\xampp\\htdocs\\magento\\app\\code\\Magento\\Email\\Model\\Transport.php:103, Laminas\\Mail\\Transport\\Exception\\RuntimeException(code: 0): Unable to send mail: mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() at C:\\xampp\\htdocs\\magento\\vendor\\laminas\\laminas-mail\\src\\Transport\\Sendmail.php:306)"} []
[2021-05-01 18:54:57] main.CRITICAL: The product that was requested doesn't exist. Verify the product and try again. {"exception":"[object] (Magento\\Framework\\Exception\\NoSuchEntityException(code: 0): The product that was requested doesn't exist. Verify the product and try again. at C:\\xampp\\htdocs\\magento\\app\\code\\Magento\\Catalog\\Model\\ProductRepository.php:310)"} []
[2021-05-02 17:56:22] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/paymet/americanexpress.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/paymet/americanexpress.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 17:56:23] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/paymet/discover.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/paymet/discover.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 17:56:23] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/paymet/master.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/paymet/master.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 17:56:24] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/paymet/maestro.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/paymet/maestro.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 17:56:27] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/paymet/visa.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/paymet/visa.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 17:56:28] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/slider/bizkick-home-banner-1.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/slider/bizkick-home-banner-1.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 17:56:29] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/slider/bizkick-home-banner-2.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/slider/bizkick-home-banner-2.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 17:56:36] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/advertisement/bizkick-male-watch3.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/advertisement/bizkick-male-watch3.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
